bioguide_id,full_name,first_name,last_name,birthday,gender,party,state,term_start,term_end,type,age
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,1993-01-05,1995-01-03,rep,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,1995-01-04,1997-01-03,rep,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,1997-01-07,1999-01-03,rep,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,1999-01-06,2001-01-03,rep,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,2001-01-03,2003-01-03,rep,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,2003-01-07,2005-01-03,rep,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,2005-01-04,2007-01-03,rep,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,2007-01-04,2013-01-03,sen,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,2013-01-03,2019-01-03,sen,71
B000944,Sherrod Brown,Sherrod,Brown,1952-11-09,M,Democrat,OH,2019-01-03,2025-01-03,sen,71
C000127,Maria Cantwell,Maria,Cantwell,1958-10-13,F,Democrat,WA,1993-01-05,1995-01-03,rep,65
C000127,Maria Cantwell,Maria,Cantwell,1958-10-13,F,Democrat,WA,2001-01-03,2007-01-03,sen,65
C000127,Maria Cantwell,Maria,Cantwell,1958-10-13,F,Democrat,WA,2007-01-04,2013-01-03,sen,65
C000127,Maria Cantwell,Maria,Cantwell,1958-10-13,F,Democrat,WA,2013-01-03,2019-01-03,sen,65
C000127,Maria Cantwell,Maria,Cantwell,1958-10-13,F,Democrat,WA,2019-01-03,2025-01-03,sen,65
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,1987-01-06,1989-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,1989-01-03,1991-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,1991-01-03,1993-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,1993-01-05,1995-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,1995-01-04,1997-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,1997-01-07,1999-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,1999-01-06,2001-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,2001-01-03,2003-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,2003-01-07,2005-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,2005-01-04,2007-01-03,rep,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,2007-01-04,2013-01-03,sen,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,2013-01-03,2019-01-03,sen,80
C000141,Benjamin L. Cardin,Benjamin,Cardin,1943-10-05,M,Democrat,MD,2019-01-03,2025-01-03,sen,80
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,1983-01-03,1985-01-03,rep,77
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,1985-01-03,1987-01-03,rep,77
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,1987-01-06,1989-01-03,rep,77
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,1989-01-03,1991-01-03,rep,77
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,1991-01-03,1993-01-03,rep,77
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,2001-01-03,2007-01-03,sen,77
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,2007-01-04,2013-01-03,sen,77
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,2013-01-03,2019-01-03,sen,77
C000174,Thomas R. Carper,Thomas,Carper,1947-01-23,M,Democrat,DE,2019-01-03,2025-01-03,sen,77
C001070,"Robert P. Casey, Jr.",Robert,Casey,1960-04-13,M,Democrat,PA,2007-01-04,2013-01-03,sen,64
C001070,"Robert P. Casey, Jr.",Robert,Casey,1960-04-13,M,Democrat,PA,2013-01-03,2019-01-03,sen,64
C001070,"Robert P. Casey, Jr.",Robert,Casey,1960-04-13,M,Democrat,PA,2019-01-03,2025-01-03,sen,64
K000367,Amy Klobuchar,Amy,Klobuchar,1960-05-25,F,Democrat,MN,2007-01-04,2013-01-03,sen,64
K000367,Amy Klobuchar,Amy,Klobuchar,1960-05-25,F,Democrat,MN,2013-01-03,2019-01-03,sen,64
K000367,Amy Klobuchar,Amy,Klobuchar,1960-05-25,F,Democrat,MN,2019-01-03,2025-01-03,sen,64
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,1993-01-05,1995-01-03,rep,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,1995-01-04,1997-01-03,rep,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,1997-01-07,1999-01-03,rep,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,1999-01-06,2001-01-03,rep,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,2001-01-03,2003-01-03,rep,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,2003-01-07,2005-01-03,rep,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,2005-01-04,2006-01-16,rep,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,2006-01-18,2007-01-03,sen,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,2007-01-04,2013-01-03,sen,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,2013-01-03,2019-01-03,sen,70
M000639,Robert Menendez,Robert,Menendez,1954-01-01,M,Democrat,NJ,2019-01-03,2025-01-03,sen,70
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,1991-01-03,1993-01-03,rep,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,1993-01-05,1995-01-03,rep,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,1995-01-04,1997-01-03,rep,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,1997-01-07,1999-01-03,rep,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,1999-01-06,2001-01-03,rep,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,2001-01-03,2003-01-03,rep,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,2003-01-07,2005-01-03,rep,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,2005-01-04,2007-01-03,rep,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,2007-01-04,2013-01-03,sen,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,2013-01-03,2019-01-03,sen,82
S000033,Bernard Sanders,Bernard,Sanders,1941-09-08,M,Independent,VT,2019-01-03,2025-01-03,sen,82
S000770,Debbie Stabenow,Debbie,Stabenow,1950-04-29,F,Democrat,MI,1997-01-07,1999-01-03,rep,74
S000770,Debbie Stabenow,Debbie,Stabenow,1950-04-29,F,Democrat,MI,1999-01-06,2001-01-03,rep,74
S000770,Debbie Stabenow,Debbie,Stabenow,1950-04-29,F,Democrat,MI,2001-01-03,2007-01-03,sen,74
S000770,Debbie Stabenow,Debbie,Stabenow,1950-04-29,F,Democrat,MI,2007-01-04,2013-01-03,sen,74
S000770,Debbie Stabenow,Debbie,Stabenow,1950-04-29,F,Democrat,MI,2013-01-03,2019-01-03,sen,74
S000770,Debbie Stabenow,Debbie,Stabenow,1950-04-29,F,Democrat,MI,2019-01-03,2025-01-03,sen,74
T000464,Jon Tester,Jon,Tester,1956-08-21,M,Democrat,MT,2007-01-04,2013-01-03,sen,67
T000464,Jon Tester,Jon,Tester,1956-08-21,M,Democrat,MT,2013-01-03,2019-01-03,sen,67
T000464,Jon Tester,Jon,Tester,1956-08-21,M,Democrat,MT,2019-01-03,2025-01-03,sen,67
W000802,Sheldon Whitehouse,Sheldon,Whitehouse,1955-10-20,M,Democrat,RI,2007-01-04,2013-01-03,sen,68
W000802,Sheldon Whitehouse,Sheldon,Whitehouse,1955-10-20,M,Democrat,RI,2013-01-03,2019-01-03,sen,68
W000802,Sheldon Whitehouse,Sheldon,Whitehouse,1955-10-20,M,Democrat,RI,2019-01-03,2025-01-03,sen,68
B001261,John Barrasso,John,Barrasso,1952-07-21,M,Republican,WY,2007-06-25,2013-01-03,sen,71
B001261,John Barrasso,John,Barrasso,1952-07-21,M,Republican,WY,2013-01-03,2019-01-03,sen,71
B001261,John Barrasso,John,Barrasso,1952-07-21,M,Republican,WY,2019-01-03,2025-01-03,sen,71
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,1995-01-04,1997-01-03,rep,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,1997-01-07,1999-01-03,rep,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,1999-01-06,2001-01-03,rep,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,2001-01-03,2003-01-03,rep,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,2003-01-07,2005-01-03,rep,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,2005-01-04,2007-01-03,rep,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,2007-01-04,2007-12-31,rep,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,2007-12-31,2013-01-03,sen,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,2013-01-03,2019-01-03,sen,73
W000437,Roger F. Wicker,Roger,Wicker,1951-07-05,M,Republican,MS,2019-01-03,2025-01-03,sen,73
C001035,Susan M. Collins,Susan,Collins,1952-12-07,F,Republican,ME,1997-01-07,2003-01-03,sen,71
C001035,Susan M. Collins,Susan,Collins,1952-12-07,F,Republican,ME,2003-01-07,2009-01-03,sen,71
C001035,Susan M. Collins,Susan,Collins,1952-12-07,F,Republican,ME,2009-01-06,2015-01-03,sen,71
C001035,Susan M. Collins,Susan,Collins,1952-12-07,F,Republican,ME,2015-01-06,2021-01-03,sen,71
C001035,Susan M. Collins,Susan,Collins,1952-12-07,F,Republican,ME,2021-01-03,2027-01-03,sen,71
C001056,John Cornyn,John,Cornyn,1952-02-02,M,Republican,TX,2002-11-30,2003-01-03,sen,72
C001056,John Cornyn,John,Cornyn,1952-02-02,M,Republican,TX,2003-01-07,2009-01-03,sen,72
C001056,John Cornyn,John,Cornyn,1952-02-02,M,Republican,TX,2009-01-06,2015-01-03,sen,72
C001056,John Cornyn,John,Cornyn,1952-02-02,M,Republican,TX,2015-01-06,2021-01-03,sen,72
C001056,John Cornyn,John,Cornyn,1952-02-02,M,Republican,TX,2021-01-03,2027-01-03,sen,72
D000563,Richard J. Durbin,Richard,Durbin,1944-11-21,M,Democrat,IL,1983-01-03,1985-01-03,rep,79
D000563,Richard J. Durbin,Richard,Durbin,1944-11-21,M,Democrat,IL,1985-01-03,1987-01-03,rep,79
